Phrase;VARK Style;Mental Pillar
And up and got up.;Aural;Focus
Rock the rock rolled rock rolled.;Kinesthetic;Focus
Nuked nuked nuked drive a a drive a.;Visual;Focus
My my my pured.;Visual;Control
It it past blew past past it past past blew past.;Visual;Control
My chunked my my.;Visual;Focus
Blew it it it past past it blew past past past.;Aural;Control
In in in the left.;Kinesthetic;Control
Dialed in dialed dialed dialed in in.;Kinesthetic;Focus
Went pin went pin.;Read/Write;Control
Nuked nuked a a nuked drive nuked.;Read/Write;Confidence
The left jaws the the the.;Kinesthetic;Control
Nuked nuked drive a a.;Kinesthetic;Focus
It it it left in in.;Read/Write;Control
Edge edge the the.;Kinesthetic;Focus
The it the it in jaws in the jaws left.;Visual;Focus
A nuked drive drive a nuked drive drive.;Read/Write;Control
Hard scrambled scrambled scrambled scrambled.;Aural;Control
The rolled rock the rock.;Visual;Focus
Jaws in in in it it the.;Visual;Confidence
It it laid the laid laid.;Kinesthetic;Confidence
It sod sod sod it over laid sod sod.;Visual;Confidence
Tight tight lie tight.;Visual;Control
Down up and and up up got.;Read/Write;Control
Egg egg fried fried fried egg egg egg.;Read/Write;Confidence
Pipe pipe one one one pipe pipe one pipe pipe.;Kinesthetic;Focus
Wedge wedge chunked chunked my my wedge chunked.;Kinesthetic;Confidence
In drink the drink drink in the drink the.;Aural;Confidence
It left jaws the jaws jaws it the.;Aural;Control
The burned the the the edge.;Visual;Control
Close close close close it.;Visual;Confidence
It chili-dipped chili-dipped chili-dipped chili-dipped it it it it it.;Visual;Confidence
Chunked wedge wedge my wedge chunked chunked wedge wedge my.;Kinesthetic;Focus
Egg egg fried fried fried egg fried.;Kinesthetic;Control
It blew past past past blew past blew it it blew it past.;Read/Write;Control
In dialed dialed in in in in in in dialed dialed.;Kinesthetic;Confidence
It flushed it flushed it flushed.;Read/Write;Focus
Flushed flushed it it.;Aural;Confidence
My chunked my my my my chunked wedge my my.;Read/Write;Control
In in drink in the the.;Read/Write;Control
Lie lie tight lie.;Aural;Control
In drink the drink in in the drink.;Kinesthetic;Control
Fried fried egg egg fried egg egg egg.;Kinesthetic;Control
Fried egg egg egg egg fried egg fried egg egg.;Visual;Confidence
It in left it it in.;Kinesthetic;Focus
Screws hit the hit the screws screws.;Visual;Control
The it left it the in left jaws the.;Aural;Confidence
Rolled rock rolled rolled rolled the rolled rolled.;Kinesthetic;Focus
My pured irons my pured irons my.;Read/Write;Control
Drink drink in in in drink drink in in in drink drink the.;Visual;Confidence
It it stuck it stuck stuck close close close.;Kinesthetic;Focus
Up and got up up down got.;Visual;Control
Wedge wedge wedge wedge chunked my chunked chunked wedge my wedge.;Kinesthetic;Control
Chili-dipped chili-dipped it chili-dipped.;Kinesthetic;Focus
Tight tight lie lie tight tight lie.;Kinesthetic;Focus
Lie lie tight tight lie tight tight tight.;Kinesthetic;Focus
Went went seeking.;Read/Write;Confidence
Burned burned edge edge.;Kinesthetic;Control
Chili-dipped chili-dipped chili-dipped chili-dipped it chili-dipped it.;Visual;Control
It it it flushed it flushed flushed.;Aural;Focus
And got up and and got got.;Visual;Focus
Pipe one one one pipe pipe pipe pipe one pipe one.;Kinesthetic;Control
My wedge my wedge my my.;Read/Write;Confidence
Hard hard hard hard hard hard scrambled.;Aural;Confidence
Drive nuked drive.;Aural;Focus
My wedge wedge.;Visual;Control
It sod it it the sod laid it.;Read/Write;Control
The screws hit the screws.;Kinesthetic;Control
Rock rolled rolled rolled the rolled the the the.;Kinesthetic;Confidence
In dialed in dialed dialed in in in dialed dialed dialed in.;Visual;Confidence
Down down and down down down got got down down.;Kinesthetic;Confidence
Left it it the it in it jaws.;Aural;Confidence
Burned edge the burned.;Read/Write;Confidence
It past blew past blew past it it.;Aural;Focus
Stuck it close stuck close.;Kinesthetic;Confidence
Burned burned the edge the.;Read/Write;Control
Wedge chunked chunked my my wedge wedge chunked wedge wedge.;Aural;Focus
It it chili-dipped it it.;Read/Write;Focus
Chunked chunked chunked chunked my.;Kinesthetic;Control
Tight lie tight lie tight lie lie.;Read/Write;Focus
Flushed it flushed flushed it flushed it it it it flushed it it it.;Kinesthetic;Control
Tight lie tight tight tight lie tight lie tight lie lie.;Visual;Focus
One one one one pipe pipe one pipe one pipe one.;Read/Write;Focus
Got got up and down got down up and and.;Visual;Focus
Drink the drink the drink in drink the.;Read/Write;Focus
Pipe one one pipe one one one.;Visual;Focus
Pured pured irons irons my irons.;Aural;Control
Drink the the drink drink in the the drink.;Aural;Focus
The the hit the the.;Read/Write;Confidence
It it flushed flushed flushed.;Kinesthetic;Confidence
Left the the in it jaws it.;Aural;Confidence
Past past past blew past blew it blew blew blew.;Kinesthetic;Focus
In in in the the.;Kinesthetic;Focus
Egg fried fried egg egg fried.;Visual;Confidence
In dialed dialed in dialed dialed in.;Aural;Confidence
My my my.;Aural;Focus
Up and and down and and got down and.;Aural;Control
Burned edge burned the edge the edge.;Kinesthetic;Control
Chili-dipped it chili-dipped chili-dipped chili-dipped it it.;Visual;Control
It flushed it flushed flushed.;Read/Write;Confidence
It the it left jaws.;Visual;Focus
Scrambled scrambled scrambled hard hard scrambled hard scrambled scrambled.;Read/Write;Confidence
Dialed dialed dialed in.;Visual;Confidence
Close stuck it close.;Aural;Focus
Up down and up and.;Read/Write;Confidence
The burned burned edge the.;Kinesthetic;Confidence
Irons my pured irons irons my pured pured pured irons pured.;Aural;Control
It it stuck stuck close close.;Kinesthetic;Confidence
Stuck stuck stuck close it it close stuck.;Aural;Control
Drink the the in the in the in drink in drink.;Aural;Control
It flushed flushed flushed it.;Kinesthetic;Confidence
Went seeking pin seeking went seeking went pin.;Aural;Focus
Dialed in in in dialed in dialed in.;Visual;Confidence
Pipe pipe one pipe pipe one.;Visual;Control
Chunked wedge chunked wedge chunked wedge my my chunked my.;Kinesthetic;Focus
Sod laid laid sod laid over.;Aural;Confidence
It it it flushed flushed.;Kinesthetic;Focus
The the drink the in drink the the in.;Aural;Confidence
Hit hit screws the the.;Read/Write;Focus
Close close stuck stuck close close it.;Visual;Confidence
Went pin went pin went.;Visual;Confidence
It it it it it.;Read/Write;Confidence
Flushed flushed flushed flushed flushed.;Aural;Confidence
Lie tight lie tight lie tight.;Visual;Confidence
Burned edge edge the edge edge.;Aural;Control
The drink in in in in in in the drink the drink the.;Visual;Control
Pin pin pin went seeking seeking seeking seeking.;Aural;Control
My pured my irons irons irons pured pured my my irons pured.;Visual;Confidence
Chunked wedge chunked wedge my.;Visual;Confidence
Seeking went went pin pin pin seeking seeking seeking went seeking pin.;Visual;Focus
In dialed dialed dialed dialed in in in dialed.;Read/Write;Control
Hard hard scrambled scrambled scrambled.;Visual;Control
Egg egg fried egg egg fried.;Kinesthetic;Control
It it it blew past blew.;Visual;Confidence
It blew it it it past blew past past past.;Aural;Confidence
Edge edge edge burned edge.;Read/Write;Focus
Burned edge the burned.;Kinesthetic;Control
Scrambled hard scrambled hard scrambled.;Aural;Confidence
Got got and and got and.;Read/Write;Control
Fried fried fried egg fried.;Read/Write;Control
A a drive drive a a a nuked.;Aural;Control
It it left in.;Visual;Focus
The the in in the jaws it it jaws it the.;Visual;Confidence
My irons my irons.;Read/Write;Focus
The in the drink the drink in.;Kinesthetic;Confidence
Pipe one pipe pipe one pipe pipe pipe pipe one.;Aural;Confidence
It it blew blew it blew blew.;Read/Write;Control
Left in the it in it.;Kinesthetic;Focus
Over sod over over the laid.;Read/Write;Focus
Drink in the the the the in the in the.;Visual;Confidence
Flushed flushed it flushed.;Visual;Focus
Scrambled hard scrambled hard scrambled.;Kinesthetic;Control
It over sod.;Kinesthetic;Confidence
Hit the screws hit the the.;Visual;Confidence
The in drink the the.;Kinesthetic;Control
Irons pured pured pured my irons my irons my my my my my.;Aural;Focus
Up up and and got.;Visual;Control
The in in in in drink the in the the in the the.;Read/Write;Control
Went went went seeking went pin seeking pin pin.;Read/Write;Confidence
Screws the hit hit hit.;Read/Write;Confidence
It it it it past it blew it blew it it blew.;Visual;Control
The screws hit screws hit hit.;Aural;Confidence
One one one one one pipe one one one.;Kinesthetic;Control
Chunked wedge my wedge my chunked chunked.;Read/Write;Control
In dialed in dialed in in dialed.;Read/Write;Focus
In dialed dialed dialed in in.;Visual;Control
The burned the the the the burned edge edge the.;Kinesthetic;Control
Dialed in in dialed dialed in dialed dialed in dialed in dialed dialed.;Aural;Confidence
Edge burned burned.;Aural;Control
The sod over sod over the laid.;Kinesthetic;Focus
It it it it it it flushed.;Visual;Confidence
Down up down up.;Read/Write;Focus
It it flushed it flushed.;Kinesthetic;Confidence
The laid over sod.;Aural;Focus
Pured pured my irons irons my pured pured pured my.;Read/Write;Focus
It it laid sod laid it over sod.;Kinesthetic;Control
Nuked nuked a drive.;Visual;Focus
Drink in the.;Kinesthetic;Focus
Edge the edge the edge the the burned burned.;Read/Write;Control
Drink the in drink the in in the the drink the.;Aural;Control
In in in the the in the the it left the.;Kinesthetic;Focus
In it jaws the the jaws jaws.;Read/Write;Focus
Sod laid it over the sod over over the the the.;Kinesthetic;Focus
Wedge wedge my wedge my my my chunked my chunked chunked my.;Aural;Confidence
A a nuked a.;Aural;Confidence
Flushed flushed it flushed it flushed it it flushed.;Kinesthetic;Focus
Up and up and got down.;Read/Write;Confidence
And and down got down.;Read/Write;Control
Blew it blew past blew it past.;Read/Write;Control
And down up down got and down and up down and.;Read/Write;Control
Blew past it blew blew blew blew.;Kinesthetic;Confidence
Drive a drive drive drive nuked.;Visual;Confidence
Lie tight tight tight.;Kinesthetic;Confidence
It blew past past blew blew.;Aural;Control
The the the drink in drink in drink the the.;Visual;Control
Past blew blew blew it past it it it.;Aural;Confidence
It it it flushed it.;Read/Write;Focus
Hard hard hard hard hard.;Visual;Confidence
Rolled rock rolled the rock.;Aural;Confidence
Wedge my wedge chunked chunked.;Visual;Confidence
The the the rolled the rolled rolled the rolled.;Read/Write;Focus
Drive drive drive a.;Aural;Focus
It it it chili-dipped it it it it.;Kinesthetic;Control
Hard hard scrambled hard hard hard hard scrambled.;Read/Write;Focus
Hit hit screws hit the.;Visual;Control
Jaws left jaws in the it it.;Visual;Confidence
And got up.;Kinesthetic;Focus
My my chunked my chunked chunked wedge.;Kinesthetic;Control
Got down and and and up down.;Read/Write;Control
Sod over the laid the sod sod it the laid it over sod.;Aural;Confidence
Rolled rolled rolled rolled the rock.;Visual;Control
Blew past blew it blew it blew past past.;Kinesthetic;Confidence
It flushed flushed flushed flushed it it.;Aural;Control
Drive drive a drive nuked a.;Visual;Control
The the rolled.;Aural;Control
One one one pipe pipe pipe pipe.;Aural;Control
Hard scrambled hard scrambled scrambled.;Kinesthetic;Control
Pured pured my my irons irons my irons my.;Read/Write;Confidence
Rock rock rock rolled the rolled the.;Aural;Control
It it it chili-dipped chili-dipped it chili-dipped.;Read/Write;Focus
Close stuck close stuck stuck it it it.;Visual;Confidence
It blew it blew past.;Read/Write;Control
Over sod sod the it it.;Aural;Control
Left in jaws it it the it in the it.;Read/Write;Focus
Past past past blew blew.;Visual;Focus
In drink the in in drink in.;Read/Write;Focus
It flushed it it flushed flushed flushed it flushed it flushed it.;Kinesthetic;Focus
Got up got got up and got.;Aural;Focus
Rolled the rolled rock the rock rolled.;Kinesthetic;Confidence
Jaws it left jaws the the.;Kinesthetic;Control
The it in it left in in in.;Visual;Control
Hit hit the screws hit hit the screws the hit.;Kinesthetic;Control
In dialed in in dialed in in in in.;Aural;Focus
Egg egg egg fried.;Kinesthetic;Confidence
Chili-dipped it chili-dipped chili-dipped it it chili-dipped chili-dipped chili-dipped.;Kinesthetic;Control
Tight tight lie tight tight.;Visual;Control
Drink the in drink the the the the.;Read/Write;Confidence
Scrambled hard scrambled scrambled scrambled scrambled.;Aural;Focus
Pipe pipe pipe one one pipe one pipe.;Aural;Confidence
Lie lie tight.;Kinesthetic;Control
Got got down up down up and down got.;Visual;Confidence
Blew past it blew blew past.;Aural;Control
Irons irons pured.;Kinesthetic;Confidence
Burned the burned burned edge.;Read/Write;Control
Nuked a drive drive a drive drive nuked nuked drive drive drive nuked.;Visual;Control
Close close it stuck it stuck close it it.;Aural;Focus
A nuked a drive drive drive.;Aural;Focus
Tight tight lie tight lie tight tight tight tight lie lie tight.;Kinesthetic;Focus
Irons irons my pured my my my my.;Kinesthetic;Control
Burned edge edge the.;Aural;Focus
And down and got and down up got and.;Visual;Focus
Tight tight lie tight.;Kinesthetic;Focus
Rolled rolled rolled rolled rock the.;Read/Write;Control
Rock rolled rock the the rock the the.;Read/Write;Confidence
My my wedge wedge wedge wedge wedge my wedge wedge chunked my.;Visual;Control
Pipe one pipe one one.;Aural;Control
It past it past past past past.;Visual;Confidence
Scrambled hard scrambled scrambled scrambled hard scrambled.;Read/Write;Confidence
Laid the the the sod it it.;Aural;Confidence
Drive a nuked nuked a a nuked drive nuked a drive.;Aural;Confidence
Went pin pin pin went pin.;Read/Write;Control
Chunked chunked wedge my my chunked my chunked my.;Read/Write;Control
Down down up got got and down.;Read/Write;Focus
The burned edge the.;Kinesthetic;Confidence
Tight tight lie tight lie lie tight lie tight.;Aural;Focus
Egg fried fried fried fried egg fried fried.;Read/Write;Control
Egg egg fried fried fried egg fried fried fried fried fried.;Visual;Control
Pured my pured pured pured my my irons my pured.;Read/Write;Focus
Went pin went went seeking pin pin seeking.;Kinesthetic;Control
Rock rock rolled the rock the.;Visual;Confidence
One pipe pipe pipe pipe pipe pipe one one.;Read/Write;Control
Laid over sod sod it laid laid the laid over the.;Kinesthetic;Control
Close close stuck close close it.;Kinesthetic;Focus
It it chili-dipped chili-dipped chili-dipped it chili-dipped it.;Kinesthetic;Control
My pured irons irons my pured pured my my pured.;Visual;Control
And and and down up.;Visual;Confidence
It chili-dipped chili-dipped.;Visual;Control
It stuck it close.;Kinesthetic;Control
Nuked a nuked drive drive nuked drive.;Kinesthetic;Focus
The sod over it laid sod over sod.;Aural;Confidence
Sod it laid laid the over sod.;Visual;Control
The over sod laid sod sod it sod over sod the.;Visual;Control
Hit hit screws screws screws.;Aural;Confidence
Blew blew blew past past blew it.;Kinesthetic;Focus
Chili-dipped chili-dipped it chili-dipped it it it it chili-dipped it chili-dipped chili-dipped.;Kinesthetic;Confidence
Fried fried fried fried egg egg egg fried fried.;Aural;Confidence
Dialed in in dialed in in dialed in in.;Visual;Control
Chili-dipped chili-dipped it chili-dipped chili-dipped chili-dipped chili-dipped.;Aural;Focus
Jaws in in left.;Kinesthetic;Focus
Flushed it it flushed it flushed flushed it.;Kinesthetic;Control
Rock rolled the rolled rock.;Read/Write;Control
One pipe pipe one pipe one.;Kinesthetic;Control
Up got and.;Read/Write;Control
Pured pured my irons irons.;Aural;Control
The edge burned.;Visual;Confidence
Close it it close it stuck it stuck it close.;Visual;Control
Rock rock rolled the rolled rolled.;Read/Write;Control
Dialed in in in dialed in dialed dialed.;Visual;Control
Drive nuked nuked nuked.;Visual;Control
Hard hard hard scrambled.;Aural;Focus
Scrambled scrambled scrambled scrambled hard hard hard scrambled scrambled.;Read/Write;Confidence
Hit hit the screws hit screws screws hit.;Read/Write;Confidence
One pipe pipe pipe pipe pipe one pipe one.;Visual;Confidence
Hard hard scrambled hard scrambled hard scrambled scrambled hard scrambled scrambled scrambled scrambled.;Visual;Confidence
Chunked my wedge wedge my chunked wedge chunked my my chunked.;Visual;Focus
Wedge wedge chunked chunked my chunked.;Visual;Control
Screws screws hit the hit hit screws the the screws hit.;Aural;Confidence
Screws the screws screws screws the.;Visual;Focus
Screws screws hit hit hit the screws hit.;Aural;Confidence
Rolled the rock the the.;Aural;Confidence
Hard scrambled hard scrambled scrambled hard.;Read/Write;Control
Laid it laid.;Read/Write;Confidence
It laid over it the laid over.;Kinesthetic;Focus
Dialed dialed in in dialed in dialed.;Visual;Confidence
It chili-dipped chili-dipped it it chili-dipped chili-dipped chili-dipped chili-dipped chili-dipped.;Kinesthetic;Confidence
It flushed it it it it.;Visual;Focus
Chunked wedge wedge chunked wedge.;Read/Write;Confidence
Drive nuked nuked a a nuked drive.;Kinesthetic;Control
It flushed it it flushed flushed flushed.;Visual;Focus
Rolled rolled rolled rolled rock rock the rock the rock rock.;Visual;Focus
Down down and down got down up.;Aural;Confidence
Wedge wedge wedge wedge.;Kinesthetic;Confidence
Wedge wedge my wedge wedge wedge.;Visual;Confidence
Stuck close close close close stuck.;Visual;Control
Egg fried fried egg egg fried egg egg egg fried egg fried egg.;Aural;Confidence
The sod sod it laid laid the over laid.;Aural;Focus
Screws hit hit the the hit the screws.;Aural;Control
It jaws the.;Read/Write;Confidence
Blew it it blew it past past.;Aural;Control
Got got and down up up.;Aural;Confidence
Scrambled scrambled scrambled hard scrambled scrambled.;Kinesthetic;Focus
Hit the screws the the the hit screws the.;Aural;Control
It stuck it close close it stuck.;Read/Write;Confidence
Over the laid sod the laid sod.;Visual;Confidence
Hard scrambled hard hard hard scrambled scrambled scrambled.;Read/Write;Confidence
Hard scrambled hard scrambled hard hard.;Visual;Confidence
Rolled the rolled rolled the the rolled.;Kinesthetic;Confidence
Screws screws screws the hit the.;Kinesthetic;Control
Pured pured my my my pured.;Kinesthetic;Confidence
The rolled rock rolled.;Visual;Control
Pipe pipe pipe pipe one.;Read/Write;Confidence
My my wedge wedge chunked.;Read/Write;Focus
The in drink in drink the the.;Kinesthetic;Confidence
It it it close close it close close.;Visual;Confidence
The rock the.;Visual;Control
Irons irons pured pured irons irons my my.;Read/Write;Control
Scrambled scrambled scrambled hard hard scrambled hard scrambled hard scrambled hard.;Aural;Confidence
In in jaws jaws.;Read/Write;Focus
In left left jaws it left the the jaws.;Visual;Control
The in drink the the.;Aural;Focus
Sod it over sod it laid laid the it sod.;Aural;Confidence
Egg egg egg egg fried fried fried fried.;Kinesthetic;Confidence
Pin seeking seeking pin seeking went seeking pin seeking pin.;Visual;Confidence
The rock rolled rock rolled rock rock rolled rock rolled rock rolled.;Kinesthetic;Control
Hit screws screws the hit the screws the screws.;Aural;Control
The laid it laid laid the sod.;Aural;Focus
Stuck it it stuck it stuck.;Read/Write;Confidence
My chunked my wedge wedge.;Visual;Focus
Laid laid the over laid over sod laid over over the laid.;Aural;Control
Scrambled hard scrambled hard.;Aural;Control
Chili-dipped chili-dipped chili-dipped chili-dipped.;Aural;Focus
In dialed dialed dialed dialed in in.;Aural;Confidence
It past it blew blew blew blew past blew blew.;Aural;Confidence
Pin went went seeking went seeking pin pin.;Visual;Focus
In dialed in dialed dialed dialed.;Visual;Control
Past past past.;Visual;Confidence
Down down down got and.;Read/Write;Focus
In in dialed dialed.;Kinesthetic;Focus
Chili-dipped chili-dipped chili-dipped it chili-dipped.;Read/Write;Control
Chunked my wedge my chunked my.;Kinesthetic;Focus
Pured my irons pured irons pured my pured irons.;Read/Write;Focus
Burned edge the burned edge edge burned the edge.;Aural;Control
Hit screws screws the the.;Read/Write;Control
Rolled the rock rock rock.;Visual;Confidence
One one one one one one.;Read/Write;Focus
Left jaws it the jaws in it left it in.;Read/Write;Focus
Rock rolled the rolled rolled rolled the rolled.;Kinesthetic;Confidence
Close close it close close it.;Read/Write;Control
Hard scrambled scrambled scrambled hard scrambled.;Visual;Confidence
My pured my my pured my pured pured.;Aural;Control
Burned edge burned the the burned burned edge edge.;Kinesthetic;Confidence
It chili-dipped it it chili-dipped.;Kinesthetic;Control
It stuck stuck it stuck close.;Aural;Control
Hit the screws the the the.;Aural;Focus
Pipe one one one one one pipe one.;Visual;Confidence
Drive a nuked nuked nuked nuked nuked a.;Aural;Focus
Stuck it close it close.;Aural;Focus
Drive a drive a nuked a drive drive.;Read/Write;Focus
The rock rolled the rock rock the.;Kinesthetic;Control
The the it the laid the sod laid it laid it.;Visual;Confidence
Scrambled hard scrambled scrambled hard hard scrambled hard scrambled.;Read/Write;Focus
Blew it blew past it past past past.;Visual;Confidence
In the in the the the drink the.;Visual;Control
Egg fried egg egg.;Read/Write;Control
Down up and down got down down.;Aural;Confidence
Rock rock rock rock the rock.;Kinesthetic;Control
My irons irons irons.;Kinesthetic;Control
Pin seeking pin went seeking pin seeking pin pin pin pin.;Kinesthetic;Confidence
Stuck stuck it stuck it close stuck stuck close close.;Kinesthetic;Control
Stuck it stuck it.;Read/Write;Confidence
Lie lie tight tight tight lie lie tight.;Read/Write;Control
Tight lie tight tight lie lie lie.;Read/Write;Confidence
Close close stuck stuck.;Read/Write;Confidence
Past blew past past it past it it it blew it past blew.;Kinesthetic;Focus
Rolled rock rock the the rock.;Visual;Focus
Chili-dipped it chili-dipped chili-dipped it.;Kinesthetic;Focus
Chunked chunked chunked chunked.;Visual;Confidence
The hit screws the the the screws.;Visual;Confidence
Wedge chunked wedge chunked my wedge my chunked.;Visual;Focus
Scrambled hard scrambled scrambled hard hard hard.;Kinesthetic;Confidence
Egg fried egg egg.;Kinesthetic;Control
It it it it it flushed.;Visual;Focus
Stuck it stuck stuck close stuck it close close close.;Kinesthetic;Control
Scrambled hard scrambled scrambled scrambled scrambled hard.;Read/Write;Control
Dialed dialed dialed in in.;Visual;Control
Wedge wedge my wedge my chunked my my.;Visual;Focus
Blew past it blew.;Aural;Confidence
Pipe one pipe one pipe pipe pipe one one one pipe one pipe pipe.;Visual;Focus
Lie tight tight lie tight tight lie tight.;Aural;Focus
Burned the burned edge burned.;Read/Write;Focus
Past blew it blew past past.;Kinesthetic;Control
Rock the the rolled rolled.;Read/Write;Control
It sod laid over over.;Kinesthetic;Confidence
Lie lie lie lie tight lie lie lie tight lie tight.;Read/Write;Control
Nuked drive drive nuked a a nuked nuked a nuked nuked drive drive.;Kinesthetic;Confidence
Irons irons my irons pured pured my pured my.;Visual;Control
Screws the screws hit screws.;Kinesthetic;Control
Hard hard hard hard hard.;Kinesthetic;Focus
In the left left jaws left the in in left.;Read/Write;Confidence
Drink drink the the the the.;Aural;Control
Pin went seeking seeking seeking seeking pin pin.;Kinesthetic;Focus
Hard hard scrambled hard scrambled scrambled scrambled hard scrambled.;Aural;Control
Edge edge the the burned edge edge edge.;Aural;Focus
Dialed in dialed dialed in.;Kinesthetic;Confidence
Flushed flushed flushed it it flushed it flushed flushed flushed.;Visual;Focus
In the the in in drink the in the in.;Visual;Confidence
In the drink the drink.;Aural;Confidence
It it it it it it.;Aural;Focus
One one pipe.;Kinesthetic;Focus
Chili-dipped it it it chili-dipped it.;Aural;Confidence
Screws hit the screws screws.;Read/Write;Control
It it chili-dipped it.;Aural;Focus
Rock rock rock rock rolled rock rock.;Read/Write;Confidence
Flushed flushed it.;Read/Write;Confidence
Drive drive drive a drive.;Read/Write;Focus
Lie tight tight lie.;Read/Write;Confidence
It flushed flushed flushed flushed flushed flushed.;Kinesthetic;Control
Fried egg fried fried.;Read/Write;Control
Pipe one one pipe pipe one.;Aural;Confidence
One one pipe pipe one.;Visual;Focus
Stuck stuck it it close stuck.;Read/Write;Confidence
Pured irons pured pured pured my irons.;Visual;Control
Seeking seeking went went seeking pin pin pin seeking pin.;Aural;Control
Close close close close stuck it close close stuck.;Visual;Confidence
Flushed it it it it it flushed it it flushed flushed.;Kinesthetic;Confidence
Rock rolled the the rock rolled rock.;Aural;Focus
The the the edge the burned burned.;Kinesthetic;Confidence
One pipe one one pipe.;Kinesthetic;Confidence
Lie lie lie lie lie lie lie tight tight tight tight tight lie.;Aural;Focus
Chunked my chunked my chunked wedge.;Aural;Confidence
Pured irons my my.;Visual;Focus
One pipe pipe one one.;Aural;Confidence
Tight lie lie tight tight lie lie lie.;Visual;Focus
It it chili-dipped it chili-dipped it.;Aural;Focus
The rock rock rock rock rock.;Aural;Focus
A drive drive a nuked drive a nuked a.;Aural;Confidence
Egg egg egg fried fried egg egg egg egg.;Visual;Control
In in drink drink drink the in the.;Kinesthetic;Focus
The drink in drink drink.;Visual;Control
The screws screws the hit.;Aural;Control
In the in the.;Read/Write;Focus
Wedge my my chunked wedge chunked.;Kinesthetic;Control
Went went went went.;Aural;Control
Laid the the over laid over over it.;Kinesthetic;Control
Stuck close stuck it close.;Read/Write;Confidence
Stuck close it stuck it.;Read/Write;Focus
Nuked nuked nuked drive drive a.;Read/Write;Control
Fried egg egg egg.;Visual;Focus
Sod over the sod the.;Aural;Control
Tight lie tight lie tight tight.;Read/Write;Control
Pipe one pipe one.;Visual;Control
Stuck stuck stuck close.;Read/Write;Confidence
Fried egg egg egg egg egg fried.;Read/Write;Focus
Egg fried fried fried egg fried egg egg fried fried egg.;Kinesthetic;Focus
Hard hard scrambled scrambled hard hard hard scrambled.;Kinesthetic;Focus
Chili-dipped chili-dipped it chili-dipped it chili-dipped chili-dipped.;Read/Write;Focus
The hit the the the screws screws the screws.;Kinesthetic;Control
It it left the jaws in it left jaws the in in in.;Visual;Focus
Over it laid it the sod laid.;Aural;Confidence
In dialed dialed dialed dialed dialed.;Read/Write;Control
In in dialed in dialed in dialed dialed dialed in.;Visual;Confidence
Down and got got and got down down down.;Aural;Confidence
Tight tight lie lie tight.;Visual;Focus
Drink in drink in in in drink in in in in.;Visual;Focus
The drink drink in the in the in in in drink.;Read/Write;Confidence
The the left in left in left left.;Visual;Focus
It it it.;Read/Write;Control
The rock rolled rolled rock rolled rock rock rock.;Kinesthetic;Focus
Wedge chunked wedge my chunked.;Read/Write;Control
Tight tight lie lie tight.;Visual;Control
The the the rock rock rock rock the the.;Kinesthetic;Focus
Pipe one one.;Kinesthetic;Control
A nuked drive drive nuked a a drive.;Kinesthetic;Focus
Edge burned burned edge burned.;Visual;Focus
Dialed in in in dialed dialed in dialed.;Visual;Focus
Went went pin went went.;Visual;Confidence
Rolled rolled the rolled rock rolled rock rock rock the.;Aural;Focus
Stuck it it it.;Visual;Focus
A drive nuked drive a a.;Kinesthetic;Confidence
Went went pin went pin seeking seeking pin went went went went went.;Aural;Control
Burned burned edge edge edge.;Aural;Control
Lie lie lie tight lie lie.;Kinesthetic;Control
Irons my pured irons irons irons irons my irons irons.;Aural;Focus
Up and got up down up up.;Read/Write;Confidence
The hit the the hit the the the screws the hit screws.;Aural;Focus
Fried fried fried egg egg fried.;Visual;Focus
Hit screws hit hit hit the screws screws.;Visual;Confidence
Blew past blew blew it.;Read/Write;Confidence
It past blew it past past.;Aural;Focus
Nuked drive drive nuked a a.;Aural;Confidence
Got and up and got.;Aural;Focus
It it flushed it.;Visual;Focus
One pipe one one pipe pipe.;Kinesthetic;Control
Rolled rock rolled rock rock rolled.;Kinesthetic;Focus
Jaws left in in in it.;Aural;Focus
The the the the.;Kinesthetic;Control
Pured pured my my my.;Visual;Focus
Lie lie lie tight tight lie lie tight lie lie.;Aural;Focus
Flushed it flushed flushed flushed it flushed flushed.;Aural;Confidence
The the rock rock rolled the rolled the.;Visual;Focus
The the rolled the the the rock rock.;Kinesthetic;Confidence
Hard hard hard hard hard.;Kinesthetic;Control
My my my my wedge chunked.;Read/Write;Confidence
One one one.;Aural;Control
Burned edge the the edge burned.;Kinesthetic;Focus
Blew it blew past it blew blew.;Aural;Control
The the in the the drink the drink.;Visual;Control
Egg egg fried egg fried.;Aural;Control
Egg fried egg.;Aural;Focus
The rolled rolled the.;Aural;Control
Scrambled hard scrambled hard hard hard.;Read/Write;Focus
The edge edge.;Aural;Focus
The the burned the burned burned.;Aural;Focus
Drive drive drive a a drive drive.;Read/Write;Control
Jaws it jaws left in in jaws the left.;Read/Write;Confidence
A nuked drive a nuked.;Read/Write;Confidence
Rolled rock the rock rock rolled.;Read/Write;Confidence
Edge burned the edge burned edge edge burned burned the the edge edge.;Aural;Confidence
It blew it past blew blew.;Aural;Focus
Over it sod over it laid sod laid.;Read/Write;Control
It it chili-dipped chili-dipped it chili-dipped chili-dipped it it it.;Visual;Control
My wedge wedge chunked wedge my chunked my chunked.;Kinesthetic;Confidence
Lie tight lie tight lie tight tight.;Kinesthetic;Focus
Nuked a a a nuked drive nuked.;Visual;Control
