Phrase;VARK;Pillar
Tried to breathe and let it ride even though I felt off;Aural;Focus
I talked myself out of spiraling a few times;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Control
I was kind of zoning out but still holding it together;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
I was kind of zoning out but still holding it together;Visual;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Confidence
I talked myself out of spiraling a few times;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Focus
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
I was kind of zoning out but still holding it together;Aural;Focus
Didn’t get upset, just stayed with it;Aural;Control
Didn’t get upset, just stayed with it;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Control
Didn't quite feel dialed in but made it through;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
My tempo was weird, but I didn’t panic;Aural;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
Tried to breathe and let it ride even though I felt off;Visual;Confidence
Didn’t get upset, just stayed with it;Aural;Focus
I was kind of zoning out but still holding it together;Aural;Focus
Not my sharpest day, but I kept working through it;Aural;Control
Didn't quite feel dialed in but made it through;Read/Write;Control
My tempo was weird, but I didn’t panic;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
I was kind of zoning out but still holding it together;Visual;Focus
My tempo was weird, but I didn’t panic;Aural;Focus
I talked myself out of spiraling a few times;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Focus
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
I was kind of zoning out but still holding it together;Kinesthetic;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Control
Not my sharpest day, but I kept working through it;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Aural;Confidence
I talked myself out of spiraling a few times;Aural;Control
Not my sharpest day, but I kept working through it;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Focus
Tried to breathe and let it ride even though I felt off;Aural;Confidence
Not my sharpest day, but I kept working through it;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
My tempo was weird, but I didn’t panic;Visual;Control
Didn’t get upset, just stayed with it;Aural;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Visual;Control
Didn't quite feel dialed in but made it through;Visual;Confidence
I was kind of zoning out but still holding it together;Aural;Control
Tried to breathe and let it ride even though I felt off;Visual;Control
I talked myself out of spiraling a few times;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Control
My tempo was weird, but I didn’t panic;Read/Write;Control
Didn’t get upset, just stayed with it;Aural;Control
Not my sharpest day, but I kept working through it;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Control
My tempo was weird, but I didn’t panic;Aural;Focus
I was kind of zoning out but still holding it together;Visual;Focus
I talked myself out of spiraling a few times;Aural;Focus
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
Not my sharpest day, but I kept working through it;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Didn’t get upset, just stayed with it;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
I talked myself out of spiraling a few times;Visual;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Aural;Control
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Didn't quite feel dialed in but made it through;Aural;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Wasn’t super confident, but I tried to stay composed;Visual;Focus
I was kind of zoning out but still holding it together;Aural;Control
I talked myself out of spiraling a few times;Visual;Control
I talked myself out of spiraling a few times;Visual;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Didn’t get upset, just stayed with it;Read/Write;Control
I talked myself out of spiraling a few times;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
I talked myself out of spiraling a few times;Visual;Control
Not my sharpest day, but I kept working through it;Read/Write;Focus
I was kind of zoning out but still holding it together;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Aural;Control
Not my sharpest day, but I kept working through it;Visual;Focus
I talked myself out of spiraling a few times;Aural;Control
Didn’t get upset, just stayed with it;Read/Write;Control
Didn’t get upset, just stayed with it;Visual;Control
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
My tempo was weird, but I didn’t panic;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Aural;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Read/Write;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
Didn't quite feel dialed in but made it through;Aural;Control
Tried to breathe and let it ride even though I felt off;Aural;Focus
I was kind of zoning out but still holding it together;Aural;Focus
I talked myself out of spiraling a few times;Visual;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Control
I talked myself out of spiraling a few times;Read/Write;Control
I talked myself out of spiraling a few times;Kinesthetic;Focus
I talked myself out of spiraling a few times;Aural;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
I was kind of zoning out but still holding it together;Visual;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Control
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Aural;Control
Didn’t get upset, just stayed with it;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Control
Not my sharpest day, but I kept working through it;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Focus
Didn't quite feel dialed in but made it through;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
Tried to breathe and let it ride even though I felt off;Aural;Focus
My tempo was weird, but I didn’t panic;Read/Write;Control
My tempo was weird, but I didn’t panic;Read/Write;Focus
Tried to breathe and let it ride even though I felt off;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Aural;Control
Didn’t get upset, just stayed with it;Aural;Control
Didn't quite feel dialed in but made it through;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Control
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Aural;Focus
My tempo was weird, but I didn’t panic;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Focus
I talked myself out of spiraling a few times;Aural;Control
I talked myself out of spiraling a few times;Aural;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Visual;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Aural;Confidence
I was kind of zoning out but still holding it together;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Control
I was kind of zoning out but still holding it together;Aural;Focus
I talked myself out of spiraling a few times;Visual;Control
Tried to breathe and let it ride even though I felt off;Visual;Control
I was kind of zoning out but still holding it together;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Read/Write;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Didn’t get upset, just stayed with it;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
I talked myself out of spiraling a few times;Aural;Focus
Not my sharpest day, but I kept working through it;Aural;Control
Didn’t get upset, just stayed with it;Aural;Confidence
Didn't quite feel dialed in but made it through;Aural;Focus
Didn't quite feel dialed in but made it through;Visual;Control
Didn’t get upset, just stayed with it;Aural;Control
I talked myself out of spiraling a few times;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Control
Not my sharpest day, but I kept working through it;Aural;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Confidence
I talked myself out of spiraling a few times;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Control
Not my sharpest day, but I kept working through it;Aural;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Visual;Confidence
Not my sharpest day, but I kept working through it;Aural;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Didn’t get upset, just stayed with it;Read/Write;Focus
I talked myself out of spiraling a few times;Kinesthetic;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Control
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Focus
I talked myself out of spiraling a few times;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Visual;Focus
I was kind of zoning out but still holding it together;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Control
I talked myself out of spiraling a few times;Read/Write;Control
Didn't quite feel dialed in but made it through;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Read/Write;Confidence
My tempo was weird, but I didn’t panic;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
I talked myself out of spiraling a few times;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Confidence
Didn’t get upset, just stayed with it;Aural;Focus
I was kind of zoning out but still holding it together;Read/Write;Control
My tempo was weird, but I didn’t panic;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Focus
I talked myself out of spiraling a few times;Aural;Control
Didn't quite feel dialed in but made it through;Visual;Control
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
Tried to breathe and let it ride even though I felt off;Aural;Control
Didn’t get upset, just stayed with it;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Visual;Focus
Didn’t get upset, just stayed with it;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
I was kind of zoning out but still holding it together;Visual;Focus
I was kind of zoning out but still holding it together;Aural;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Control
I talked myself out of spiraling a few times;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Aural;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Visual;Focus
I was kind of zoning out but still holding it together;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Control
Didn't quite feel dialed in but made it through;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
I talked myself out of spiraling a few times;Read/Write;Focus
Tried to breathe and let it ride even though I felt off;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Visual;Control
My tempo was weird, but I didn’t panic;Visual;Focus
I was kind of zoning out but still holding it together;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Control
Didn’t get upset, just stayed with it;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Tried to breathe and let it ride even though I felt off;Visual;Control
Didn't quite feel dialed in but made it through;Aural;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Focus
Didn't quite feel dialed in but made it through;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Didn’t get upset, just stayed with it;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Aural;Control
My tempo was weird, but I didn’t panic;Aural;Control
I talked myself out of spiraling a few times;Aural;Focus
I was kind of zoning out but still holding it together;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Didn’t get upset, just stayed with it;Visual;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Visual;Control
Not my sharpest day, but I kept working through it;Aural;Control
Didn’t get upset, just stayed with it;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Control
I was kind of zoning out but still holding it together;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Aural;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
Didn't quite feel dialed in but made it through;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Didn’t get upset, just stayed with it;Visual;Focus
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Didn’t get upset, just stayed with it;Aural;Control
I talked myself out of spiraling a few times;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Control
Wasn’t super confident, but I tried to stay composed;Aural;Control
Tried to breathe and let it ride even though I felt off;Aural;Control
I talked myself out of spiraling a few times;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Focus
I was kind of zoning out but still holding it together;Aural;Focus
Didn't quite feel dialed in but made it through;Aural;Focus
Not my sharpest day, but I kept working through it;Aural;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
Not my sharpest day, but I kept working through it;Aural;Control
Wasn’t super confident, but I tried to stay composed;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Aural;Focus
Not my sharpest day, but I kept working through it;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
I talked myself out of spiraling a few times;Read/Write;Confidence
I was kind of zoning out but still holding it together;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
Didn’t get upset, just stayed with it;Read/Write;Focus
Not my sharpest day, but I kept working through it;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Read/Write;Focus
I was kind of zoning out but still holding it together;Aural;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Visual;Confidence
My tempo was weird, but I didn’t panic;Aural;Confidence
I talked myself out of spiraling a few times;Kinesthetic;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
I was kind of zoning out but still holding it together;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
I talked myself out of spiraling a few times;Read/Write;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Control
I talked myself out of spiraling a few times;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Confidence
Not my sharpest day, but I kept working through it;Visual;Focus
Didn't quite feel dialed in but made it through;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Control
Didn't quite feel dialed in but made it through;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Aural;Focus
My tempo was weird, but I didn’t panic;Visual;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Focus
Not my sharpest day, but I kept working through it;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Focus
Not my sharpest day, but I kept working through it;Visual;Focus
I talked myself out of spiraling a few times;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
I talked myself out of spiraling a few times;Aural;Control
My tempo was weird, but I didn’t panic;Aural;Control
Didn’t get upset, just stayed with it;Visual;Focus
Not my sharpest day, but I kept working through it;Aural;Focus
Didn’t get upset, just stayed with it;Read/Write;Focus
I was kind of zoning out but still holding it together;Read/Write;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Tried to breathe and let it ride even though I felt off;Aural;Focus
Didn’t get upset, just stayed with it;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Confidence
I was kind of zoning out but still holding it together;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
Didn't quite feel dialed in but made it through;Read/Write;Focus
Didn’t get upset, just stayed with it;Read/Write;Control
Didn’t get upset, just stayed with it;Aural;Focus
Didn't quite feel dialed in but made it through;Visual;Confidence
Not my sharpest day, but I kept working through it;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Focus
Tried to breathe and let it ride even though I felt off;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Control
I talked myself out of spiraling a few times;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Aural;Control
I was kind of zoning out but still holding it together;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Confidence
My tempo was weird, but I didn’t panic;Aural;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Control
I was kind of zoning out but still holding it together;Visual;Focus
Didn’t get upset, just stayed with it;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
I was kind of zoning out but still holding it together;Aural;Control
Didn’t get upset, just stayed with it;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Aural;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Control
I was kind of zoning out but still holding it together;Aural;Control
Tried to breathe and let it ride even though I felt off;Visual;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Control
Didn’t get upset, just stayed with it;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Read/Write;Confidence
Didn’t get upset, just stayed with it;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Control
My tempo was weird, but I didn’t panic;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Aural;Focus
Didn't quite feel dialed in but made it through;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Visual;Control
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
Didn’t get upset, just stayed with it;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Confidence
I was kind of zoning out but still holding it together;Read/Write;Focus
Didn't quite feel dialed in but made it through;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Read/Write;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Confidence
Didn't quite feel dialed in but made it through;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
Wasn’t super confident, but I tried to stay composed;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Focus
Didn’t get upset, just stayed with it;Visual;Focus
My tempo was weird, but I didn’t panic;Aural;Control
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Focus
I talked myself out of spiraling a few times;Aural;Confidence
I was kind of zoning out but still holding it together;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Aural;Control
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Focus
My tempo was weird, but I didn’t panic;Aural;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Control
I was kind of zoning out but still holding it together;Aural;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Aural;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
I talked myself out of spiraling a few times;Read/Write;Confidence
Didn’t get upset, just stayed with it;Kinesthetic;Focus
I was kind of zoning out but still holding it together;Aural;Focus
Tried to breathe and let it ride even though I felt off;Read/Write;Focus
Kept telling myself it’s fine even if it didn’t feel great;Aural;Control
Wasn’t super confident, but I tried to stay composed;Aural;Confidence
Not my sharpest day, but I kept working through it;Kinesthetic;Focus
Didn't quite feel dialed in but made it through;Aural;Confidence
Tried to breathe and let it ride even though I felt off;Aural;Focus
I talked myself out of spiraling a few times;Visual;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Confidence
I talked myself out of spiraling a few times;Aural;Control
I talked myself out of spiraling a few times;Aural;Confidence
I talked myself out of spiraling a few times;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Aural;Focus
Didn’t get upset, just stayed with it;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
I was kind of zoning out but still holding it together;Read/Write;Focus
I talked myself out of spiraling a few times;Visual;Control
Didn’t get upset, just stayed with it;Kinesthetic;Control
Not my sharpest day, but I kept working through it;Kinesthetic;Control
Didn't quite feel dialed in but made it through;Kinesthetic;Control
